"GF+PATH Unique Antigens (+ GF PCR,AgB tests)",,,Show Duplicate: Enable,,,,,,,,,,,"Vlookup to Phase column I ""Phase"" in PATH-Antigen only-02/28/22",,,,,,,,,ADP COVID-19 Diagnostics Procurement Resource,PATH Antigen ,,Vlookup to GF Pricing- Column D,INDEX/MATCH to ADP COVID-19 Diagnostics Procurement resource Column T,Vlookup to GF Pricing- Column E,,0,10,10,15,11,,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1258,1258,A100232,COVIQWIK SARS-CoV-2 RT-LAMP Kit,coviqwik lamp ,,"Acrannolife Genomics Pvt. Ltd.,",acrannolife genomics pvt ,,,,,,,,,,,,,,,,,,,,,IND0409,,,,,IND0409,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,175,175,,COVID-19 Antigen Rapid Test (Oral Fluid), antigen rapid  oral fluid,,ACRO BIOTECH Inc.,acro biotech ,USA,#N/A,USA,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://consultas.anvisa.gov.br/api/consulta/produtos/25351143706202149/anexo/T13862779/nomeArquivo/Acrobiotech%20%20Portuguese%20PI%20(INCP-%20ACO%20802)%20-.pdf?Authorization=Guest,https://consultas.anvisa.gov.br/api/consulta/produtos/25351143706202149/anexo/T13862779/nomeArquivo/Acrobiotech%20%20Portuguese%20PI%20(INCP-%20ACO%20802)%20-.pdf?Authorization=Guest,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,210,210,,COVID-19 Rapid Antigen Test Family - ACRO, rapid antigen  family acro,,ACRO Biotech Inc.,acro biotech ,USA,#N/A,USA,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://consultas.anvisa.gov.br/api/consulta/produtos/25351090949202096/anexo/A2420244/nomeArquivo/INSTRUCAO-DE-USO%20-%201%20de%201.PDF?Authorization=Guest,https://consultas.anvisa.gov.br/api/consulta/produtos/25351090949202096/anexo/A2420244/nomeArquivo/INSTRUCAO-DE-USO%20-%201%20de%201.PDF?Authorization=Guest,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,838,838,,ACRO 2019-nCoV IgG/IgM Rapid Test Cassette (Whole Blood/Serum/Plasma),acro 2019 iggigm rapid  cassette whole bloodserumplasma,,"ACRO BIOTECH, INC.",acro biotech ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,IDN0103,,,,,IDN0103,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,836,836,,ACRO COVID-19 Antigen Rapid Test (Nasopharyngeal Swab),acro  antigen rapid  nasopharyngeal swab,,"ACRO BIOTECH, INC.",acro biotech ,#N/A,#N/A,,#N/A,,,#N/A,,,,,,,,,,,,,,,IDN0101,,,,,IDN0101,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,860,860,,JUSCHEK COVID-19 and Influenza A+B Antigen Combo Rapid Test (Cassette),juschek  and influenza ab antigen combo rapid  cassette,,"ACRO BIOTECH, INC.",acro biotech ,#N/A,#N/A,,#N/A,,,#N/A,,,,,,,,,,,,,,,IDN0135,,,,,IDN0135,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,855,855,,JUSCHEK® 2019-nCoV (Novel Coronavirus) IgG/IgM Rapid Test Cassette,juschek 2019 novel coronavirus iggigm rapid  cassette,,"ACRO BIOTECH, INC.",acro biotech ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,IDN0128,,,,,IDN0128,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,828,828,,JUSCHEK® COVID-19 Antigen Rapid Test (Nasopharyngeal Swab),juschek  antigen rapid  nasopharyngeal swab,,"ACRO BIOTECH, INC.",acro biotech ,#N/A,#N/A,,#N/A,,,#N/A,,,,,,,,,,,,,,,IDN0069,,,,,IDN0069,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,945,945,,AcuCorona 2.0 For Bio-Rad CFX96 Touch™ Real-Time PCR Detection System,acucorona 20 bio rad cfx96 touch real time detection system,,"Acumen Research Laboratories Pte Ltd., Singapore ",acumen research laboratories   singapore ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0095,,,,,ZAF0095,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1259,1259,20167,MOLgen SARS CoV-2 Realtime RT-PCR kit,molgen realtime ,,"ADALTIS S.r.l, Italy (PUG Capital Private Limited)",adaltis srl italy pug capital private limited,,,,,,,,,,,,,,,,,,,,,IND0410,,,,,IND0410,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1260,1260,nCoV-2008-01ST,LyteStar 2019-nCoV RT-PCR Kit 2.0,lytestar 2019  20,,ADT Biotech Sdn. Bhd. (ADT India Private Limited),adt biotech sdn bhd adt india private limited,,,,,,,,,,,,,,,,,,,,,IND0411,,,,,IND0411,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1261,1261,nCOV-2003-06 nCOV-2004-02 nCOV-2004-03 SARS-2004-01 SARS-2004-02 SARS-2004-03,LyteStar 2019-nCoV RT PCR Kit 1.0,lytestar 2019  10,,"ADT India Ltd, New Delhi, India",adt india  new delhi india,,,,,,,,,,,,,,,,,,,,,IND0412,,,,,IND0412,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,513,513,,Prorast SARS-Cov-2 Ag ADTest SARS-Cov-2,prorast ag adtest  ,,ADTEC Corporation/LSI Medicine Corporation,adtec corporationlsi medicine corporation,Japan,Japan,Japan,Test approved by one or more SRA,,,#N/A,,,,,,,,,#N/A,,#N/A,,,IND0130,,,,,IND0130,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,602,602,,SARS-CoV-2 Ag LF,  ag lf,,ADVAGEN BIOTECH LTDA - BRAZIL,advagen biotech  brazil,Brazil,#N/A,Brazil,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://consultas.anvisa.gov.br/api/consulta/produtos/25351476601202092/anexo/A2446149/nomeArquivo/INSTRUCAO-DE-USO%20-%201%20de%201.PDF?Authorization=Guest,https://consultas.anvisa.gov.br/api/consulta/produtos/25351476601202092/anexo/A2446149/nomeArquivo/INSTRUCAO-DE-USO%20-%201%20de%201.PDF?Authorization=Guest,#N/A,#N/A,#N/A,,,,,,,,,,,,
x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,547,547,A-RAPCOV01,"RapCov™ Rapid COVID-19
Test",rap rapid ,see IFU,Advaite,advaite,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,940,940,,Ultra gene Combo2screen SARS cov2 assay,ultra gene combo2screen  cov2 assay,,"Advanced Biological Laboratories (ABL) S.A.,",advanced biological laboratories abl sa,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0087,,,,,ZAF0087,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1262,1262,11382,Zena Max SARS-CoV-2 Direct qPCR Detection Kit,zena max direct qpcr detection ,,"Advanced Molecular Diagnostics (AMD), UK (Diagnostic Biosystems)",advanced molecular diagnostics amd uk diagnostic biosystems,,,,,,,,,,,,,,,,,,,,,IND0413,,,,,IND0413,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,949,949,,Genedrive 96 SARS Cov-2 Kit,genedrive 96 ,,Advena Limited,advena limited,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0099,,,,,ZAF0099,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,276,276,,EzDx COVID-19 Rapid Ag Test,ezdx  rapid ag ,,Advy Chemical Pvt. Ltd.,advy chemical pvt ,India,#N/A,India,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,IND0014,,,,,IND0014,,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1226,1226,01/1220 02/1220 03/1220,EzDx COVID-19 Rapid Ag Test,ezdx  rapid ag ,,"ADVY Chemical Pvt. Ltd., Thane (Maharashtra), India",advy chemical pvt  thane maharashtra india,,,,,,,#N/A,,,,,,,,,,,,,,IND0292,,,,,IND0292,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1180,1180,"RD-COV 01/0920
RD-COV 02/0920
RD-COV 03/0920",EzDx^{TM} Covid-19 IgG/IgM Rapid Antibody Test,ezdxtm  iggigm rapid antibody ,,Advy Chemicals Pvt. Ltd.,advy chemicals pvt ,,,,,,,,,,,,,,,,,,,,,IND0240,,,,,IND0240,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,847,847,,ID LAB COVID19 Neutralization Antibody Quantitative Test Kit (FIA),id lab 19 neutralization antibody quantitative fia,,AEHEALTH LIMITED,aehealth limited,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,IDN0117,,,,,IDN0117,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,834,834,,AEHEALTH COVID19 Antigen Quantitative Test Kits (Immunofluorescence Assay),aehealth 19 antigen quantitative  immunofluorescence assay,,AEHEALTH LIMITED.,aehealth limited,#N/A,#N/A,,#N/A,,,#N/A,,,,,,,,,,,,,,,IDN0097,,,,,IDN0097,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,842,842,,AEHEALTH COVID19 Neutralization Antibody Quantitative Test Kit (Fluorescence Immunochromatographic Assay),aehealth 19 neutralization antibody quantitative fluorescence immunochromatographic assay,,AEHEALTH LIMITED.,aehealth limited,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,IDN0109,,,,,IDN0109,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,766,766,,AESKULISASARS-CoV-2 NP IgG(Kit)[Codes: 6122],aeskulisa  np iggkitcodes 6122,,"AESKU. Diagnostics GmbH & Co., KG, Mikroforum Ring 2, D-55234 Wendelsheim, Germany",aesku diagnostics gmbh  kg mikroforum ring 2 d55234 wendelsheim germany,#N/A,#N/A,,,,,,,,,,,,,,,,,,PKS0008,,,,,PKS0008,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1263,1263,HBI001A,Holborn Wells Detect SARS-CoV-2 Multiplex IVD RT-QPCR TEST Kit,holborn wells detect multiplex ivd qpcr  ,,Affigenix Biosolutions Pvt. Ltd,affigenix biosolutions pvt ,,,,,,,,,,,,,,,,,,,,,IND0414,,,,,IND0414,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1264,1264,HDI0001A,RT-QPCR TEST Kit,rt qpcr  ,,Affigenix Biosolutions Pvt. Ltd,affigenix biosolutions pvt ,,,,,,,,,,,,,,,,,,,,,IND0415,,,,,IND0415,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1265,1265,MX07/3G/08_MF G,AFFIGENIX COVID 19 TEST (ACT-1) (3 Genes MULTIPLEX KIT),affigenix act 1 3 genes multiplex ,,"AffigenixBiosolutions Pvt Ltd, Bangalore, India",affigenixbiosolutions pvt  bangalore india,,,,,,,,,,,,,,,,,,,,,IND0416,,,,,IND0416,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1266,1266,AFDX1000602,AffigenixCovid 19 test (ACT) kit,affigenix  act ,,"AffigenixBiosolutionsPvt. Ltd, Bangalore",affigenixbiosolutionspvt  bangalore,,,,,,,,,,,,,,,,,,,,,IND0417,,,,,IND0417,,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1119,1119,"R003001 R003002
R003003",AG-Q COVID-19 NAntigen Rapid DiagnosticKit,ag  nantigen rapid diagnostickit,,"Agappe Diagnostic Pvt.Ltd., Kerala",agappe diagnostic pvt kerala,,,,,,,#N/A,,,,,,,,,,,,,,IND0015,,,,,IND0015,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,31,31,,AG-Q COVID-19 N Antigen Rapid Diagnostic Kit,ag  antigen rapid diagnostic ,,Agappe Diagnostics,agappe diagnostics,India,#N/A,India,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://www.agappe.com/media/catalog/product/file/13814009_AgQ-19.pdf,https://www.agappe.com/media/catalog/product/file/13814009_AgQ-19.pdf,#N/A,#N/A,#N/A,,,IND0306,,,,,IND0306,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1267,1267,R007101,Direct Covid 19 LAMP Test Kit,direct  lamp  ,,"Agappe Diagnostics Ltd, Kerala",agappe diagnostics  kerala,,,,,,,,,,,,,,,,,,,,,IND0418,,,,,IND0418,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1268,1268,R008003,Agappe Real Time RT – LAMP COVID 19 Testing Kit,agappe real time  lamp  ing ,,"Agappe Diagnostics Ltd, Kerala, India",agappe diagnostics  kerala india,,,,,,,,,,,,,,,,,,,,,IND0419,,,,,IND0419,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,407,407,13279F,"MassARRAY® SARS-CoV-2
Panel",massarray  panel,960T/kit,"Agena Bioscience, Inc.",agena bioscience ,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,408,408,13278D,"MassARRAY® SARS-CoV-2
Panel",massarray  panel,3840T/kit,"Agena Bioscience, Inc.",agena bioscience ,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,409,409,13281D,"MassARRAY® SARS-CoV-2
Panel",massarray  panel,768T/kit,"Agena Bioscience, Inc.",agena bioscience ,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,999,999,,Agilent SARS-CoV-2 qRT-PCR Dx Kit,agilent qrt dx ,,"Agilent Technologies, Inc",agilent technologies ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0165,,,,,ZAF0165,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,935,935,,abTES™ COVID-19 qPCR I Kit,abtes  qpcr ,,"AIT Biotech Pte. Ltd.

",ait biotech  ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0080,,,,,ZAF0080,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1269,1269,L141-173,abTES COVID-19 qPCR I Kit (v1.1),abtes  qpcr  v11,,"AITbiotech Pte Ltd, Singapore (Hiddenite Beverages Private Limited)",aitbiotech   singapore hiddenite beverages private limited,,,,,,,,,,,,,,,,,,,,,IND0420,,,,,IND0420,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1270,1270,L141-57,abTESTM COVID-19 qPCR I Kit,abtestm  qpcr ,,"AITbiotech Pte Ltd, Singapore (Hiddenite Beverages Private Limited)",aitbiotech   singapore hiddenite beverages private limited,,,,,,,,,,,,,,,,,,,,,IND0421,,,,,IND0421,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,607,607,,SARS-CoV-2 Antigen Detection Rapid Lateral Flow Test (colloidal gold-based),  antigen detection rapid lateral flow  colloidal gold based,,AIVD Biotech Inc.,aivd biotech ,China,#N/A,China,Test in development or commercialized,,,#N/A,,,,,,#N/A,https://www.aivdbiotech.cn/Uploads/202012/5fd32cabc6525.pdf,https://www.aivdbiotech.cn/Uploads/202012/5fd32cabc6525.pdf,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,608,608,,SARS-CoV-2 Antigen Detection Rapid Lateral Flow Test (latex bead-based lateral flow),  antigen detection rapid lateral flow  latex bead based lateral flow,,AIVD Biotech Inc.,aivd biotech ,China,#N/A,China,Test in development or commercialized,,,#N/A,,,,,,#N/A,https://www.aivdbiotech.cn/Uploads/202012/5fe5b317e884b.pdf,https://www.aivdbiotech.cn/Uploads/202012/5fe5b317e884b.pdf,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1271,1271,20200601,PATHOFIND COVID-19 Realtime RT-PCR Kit,pathofind  realtime ,,Ajay Bio-Tech (India) Ltd.,ajay biotech india ,,,,,,,,,,,,,,,,,,,,,IND0422,,,,,IND0422,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,43,43,,ANTIGEN SARS-CoV-2 QUICK TEST,antigen quick ,,Alamar Tecno Cientifica Ltda,alamar tecno cientifica a,Brazil,#N/A,Brazil,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1272,1272,BPORT210805,"COVID-19, ONE STEP MULTIPLEX RT PCR KIT", one step multiplex ,,"Alchem Diagnostics, Coimbatore",alchem diagnostics coimbatore,,,,,,,,,,,,,,,,,,,,,IND0423,,,,,IND0423,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,279,279,,FaStep COVID-19 Antigen Rapid Test Device (Nasopharyngeal/ Oropharyngeal Swab),fastep  antigen rapid  device nasopharyngeal oropharyngeal swab,,Alcotech Pte Ltd,alcotech  ,Singapore,#N/A,Singapore,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,353,353,,Instant-view Plus Covid-19 Antigen Test,instant view plus  antigen ,,"Alfa Scientific Designs, Inc.",alfa scientific designs ,USA,#N/A,USA,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://consultas.anvisa.gov.br/api/consulta/produtos/25351735677202065/anexo/T12989107/nomeArquivo/Bula%20Instant%20View%20Plus%20Covid-19%20Ag%20View%20Alfa%20Test%20atual.pdf?Authorization=Guest,https://consultas.anvisa.gov.br/api/consulta/produtos/25351735677202065/anexo/T12989107/nomeArquivo/Bula%20Instant%20View%20Plus%20Covid-19%20Ag%20View%20Alfa%20Test%20atual.pdf?Authorization=Guest,#N/A,#N/A,#N/A,,,,,ZAF0224,,,,,ZAF0224,,
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,54,54,,Arsonic COVID-19 Ag,arsonic  ag,,Alfresa Pharma Corporation,alfresa pharma corporation,Japan,Japan,Japan,Test approved by one or more SRA,PMDA,,#N/A,FALSE,FALSE,FALSE,TRUE,FALSE,,,,#N/A,,#N/A,,,IND0131,,,,,IND0131,,,,Yes
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1204,1204,ECOVG-010820 ECOVG-020820 ECOVG-030820,Alpine Anti-SARS-CoV-2 IgG ELISA Test,alpine anti igg elisa ,,"Alpine Biomedicals Pvt. Ltd., Ambala (Haryana), India",alpine biomedicals pvt  ambala haryana india,,,,,,,,,,,,,,,,,,,,,IND0264,,,,,IND0264,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,37,37,,Alpine COVID-19 Antigen Rapid Test kit,alpine  antigen rapid  ,,"Alpine Biomedicals Pvt. Ltd., Ambala (Haryana), India",alpine biomedicals pvt  ambala haryana india,India,#N/A,India,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,IND0016,,,,,IND0016,,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1223,1223,LCOVG-010820 LCOVG-020820 LCOVG-030820,Alpine COVID-19 Antigen Rapid Test kit,alpine  antigen rapid  ,,"Alpine Biomedicals Pvt. Ltd., Ambala (Haryana), India",alpine biomedicals pvt  ambala haryana india,,,,,,,#N/A,,,,,,,,,,,,,,IND0286,,,,,IND0286,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1163,1163,"A10420
A20420","One Step Corona Virus (COVID-19)
IgM/IgG Antibody Test ",one step corona virus igmigg antibody  ,,"Alpine Biomedicals, Ambala
(Haryana), India ",alpine biomedicals ambalaharyana india ,,,,,,,,,,,,,,,,,,,,,IND0223,,,,,IND0223,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,570,570,821025,RealStar® SARS-CoV-2 RT- PCR Kit U.S.,realstar us,384T/kit,Altona Diagnostics GmbH,altona diagnostics gmbh,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1273,1273,23005 24628,RealStar SARS-CoV-2 RT-PCR kit 1.0,realstar  10,,"Altona Diagnostics, Germany",altona diagnostics germany,,,,,,,,,,,,,,,,,,,,,IND0424,,,,,IND0424,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,39,39,,AMP Rapid Test SARS-CoV-2 Ag,amp rapid  ag,,AMEDA Labordiagnostik GmbH,ameda labordiagnostik gmbh,Austria,#N/A,Austria,Test that meet WHO TPP according to external evaluation,,,CE-IVD,,,,,,#N/A,https://2e5ed920-9a4a-4c1f-b46e-954bdc354cc4.filesusr.com/ugd/3cc657_81168bf847ae457395b5a093603457b1.pdf,https://2e5ed920-9a4a-4c1f-b46e-954bdc354cc4.filesusr.com/ugd/3cc657_81168bf847ae457395b5a093603457b1.pdf,#N/A,#N/A,#N/A,,,,,ZAF0187,,,,,ZAF0187,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,38,38,,Amela Covid-19 Antigen test,amela  antigen ,,Amedica SA,amedica sa,Norway,#N/A,Norway,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://drive.google.com/file/d/1tHt9b43EqOQQrEHqiDEdzISL2RGya45v/view?usp=sharing,https://drive.google.com/file/d/1tHt9b43EqOQQrEHqiDEdzISL2RGya45v/view?usp=sharing,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1274,1274,AGBRTP210103,Ammagen RT-PCR Kit,ammagen ,,"Ammagen, Tamil Nadu",ammagen tamil nadu,,,,,,,,,,,,,,,,,,,,,IND0425,,,,,IND0425,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,222,222,,COVID-19/Influenza A virus/Influenza B virus test kit (Rare Earth Nano Fluorescence Immunochromatography),influenza virusinfluenza virus rare earth nano fluorescence immunochromatography,,"AmonMed Biotechnology Co., Ltd",amonmed biotechnology ,China,#N/A,China,Test in development or commercialized,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,977,"977, 978",,AmoyDx Novel Coronavirus (2019-nCoV) Detection Kit,amoydx novel coronavirus 2019 detection ,,Amoy Diagnostics,amoy diagnostics,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0138,,,,,"ZAF0138, ZAF0139",,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,579,579,,RESOLUTE 2.0,resolute 20,,AMT Pte Ltd (Singapore),amt   singapore,#N/A,#N/A,,,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1112,1112,"BCOVN01, BCOVN02, BCOVN03",AngcardCOVID-19Home test kit,angcardhome  ,,"Angstrom Biotech
Pvt. Ltd.",angstrom biotechpvt ,,,,,,,#N/A,,,,,,,,"A.IFU
https://drive.google.com/file/d/19lIi
Ci8gjO32m08DkyabrZM2lmg7Xn0
t/view?usp=sharing
B. Video link for demonstration:
https://www.youtube.com/channel/
UCQ0pGOl-GH-qqi6SVcrKIkg",,,,,,IND0001,,,,,IND0001,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,44,44,,Antigen Test Kit,antigen  ,,Angstrom Biotech Pvt. Ltd,angstrom biotech pvt ,India,#N/A,India,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://angstrombiotech.in/adminpanel/images/product/pdf/pdf_new/antigen.pdf,https://angstrombiotech.in/adminpanel/images/product/pdf/pdf_new/antigen.pdf,#N/A,#N/A,#N/A,,,IND0017,,,,,IND0017,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1275,1275,COVP02,ANGPCR 2019-nCoV,angpcr 2019 ncov,,"Angstrom Biotech Pvt. Ltd, Rajasthan",angstrom biotech pvt  rajasthan,,,,,,,,,,,,,,,,,,,,,IND0426,,,,,IND0426,,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1220,1220,BCOVA03 BCOVA04 BCOVA05 BCOVA06,Angcard COVID-19 rapid Antigen Test kit,angcard  rapid antigen  ,,"Angstrom Biotech Pvt. Ltd., Alwar (Rajasthan), India",angstrom biotech pvt  alwar rajasthan india,,,,,,,#N/A,,,,,,,,,,,,,,IND0282,,,,,IND0282,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,146,146,,COVID-19 (SARS-CoV-2) Antigen Test Kit (Colloidal Gold) - NP, antigen colloidal gold np,,"Anhui Deepblue Medical Technology Co., Ltd",anhui deepblue medical technology ,China,#N/A,China,Test in development or commercialized,,,#N/A,,,,,,#N/A,https://waimao-us-west.oss-us-west-1.aliyuncs.com/customerFiles/dbluemedical/2021/04/15/5cdec64f353d5b4b908e6381b95832a340dceb94.pdf,https://waimao-us-west.oss-us-west-1.aliyuncs.com/customerFiles/dbluemedical/2021/04/15/5cdec64f353d5b4b908e6381b95832a340dceb94.pdf,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,147,147,,COVID-19 (SARS-CoV-2) Antigen Test Kit (Colloidal Gold) Nasal Swab (Self test), antigen colloidal gold nasal swab self ,,"Anhui Deepblue Medical Technology Co., Ltd",anhui deepblue medical technology ,China,#N/A,China,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://waimao-us-west.oss-us-west-1.aliyuncs.com/customerFiles/dbluemedical/2021/05/03/4bce32a2dd2587251de7a9afa4660a7d2721385f.pdf,https://waimao-us-west.oss-us-west-1.aliyuncs.com/customerFiles/dbluemedical/2021/05/03/4bce32a2dd2587251de7a9afa4660a7d2721385f.pdf,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,148,148,,COVID-19 (SARS-CoV-2) Antigen Test Kit (Colloidal Gold)--Saliva, antigen colloidal gold  saliva,,"Anhui Deepblue Medical Technology Co., Ltd",anhui deepblue medical technology ,China,#N/A,China,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://waimao-us-west.oss-us-west-1.aliyuncs.com/customerFiles/dbluemedical/2021/02/03/9558c6c44b8e34a05b65e0fccc97b58cbe478c6b.pdf,https://waimao-us-west.oss-us-west-1.aliyuncs.com/customerFiles/dbluemedical/2021/02/03/9558c6c44b8e34a05b65e0fccc97b58cbe478c6b.pdf,#N/A,#N/A,#N/A,,,,IDN0040,,,,,IDN0040,,,
